名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
志静网吧,体育休闲服务,娱乐场所,网吧,松岗街道罗田社区高田大道华成楼4层,广东省,深圳市,宝安区,113.8689256,22.80120002
美美网吧,体育休闲服务,娱乐场所,网吧,新区公明李松蓢西区294栋,广东省,深圳市,宝安区,113.8814209,22.80536856
文兴网吧,体育休闲服务,娱乐场所,网吧,公明办事处李松蓢西区328号,广东省,深圳市,宝安区,113.8823902,22.80600395
红兴网吧,体育休闲服务,娱乐场所,网吧,公明办事处李松朗村西区278号,广东省,深圳市,宝安区,113.8819226,22.80483807
QQ特权网吧,体育休闲服务,娱乐场所,网吧,朗新路家家乐百货北200米,广东省,深圳市,宝安区,113.8825083,22.80659781
盛大网络(喜乐楼西),体育休闲服务,娱乐场所,网吧,朗新路北200米,广东省,深圳市,宝安区,113.8831142,22.8050877
运华网络,体育休闲服务,娱乐场所,网吧,朗新路附近,广东省,深圳市,宝安区,113.8821299,22.80409846
正勤网吧(李松蓢店),体育休闲服务,娱乐场所,网吧,朗新路永尧科技南40米,广东省,深圳市,宝安区,113.8802102,22.80425014
流行在线网吧(李松蓢三分店),体育休闲服务,娱乐场所,网吧,公明办事处光明新区光明新区公明镇李松朗新村88号隔壁,广东省,深圳市,宝安区,113.8827667,22.80553734
天逸网吧(朗新路),体育休闲服务,娱乐场所,网吧,朗新路南50米,广东省,深圳市,宝安区,113.8832285,22.80292253
电竞网咖,体育休闲服务,娱乐场所,网吧,朗新西路84号附近,广东省,深圳市,宝安区,113.8835359,22.80316662
拉记网吧,体育休闲服务,娱乐场所,网吧,河堤路附近,广东省,深圳市,宝安区,113.8809604,22.80227234
流行在线网吧(李松蓢二分店),体育休闲服务,娱乐场所,网吧,公明街道李松蓢社区蓢新路东区二排十四栋鑫辉百货二楼,广东省,深圳市,宝安区,113.8863954,22.8039378
奇乐多儿童乐园,体育休闲服务,休闲场所,游乐场,西田时代商贸广场二楼,广东省,深圳市,宝安区,113.8955432,22.80590148
曙光网络,体育休闲服务,娱乐场所,网吧,炮台路15号,广东省,深圳市,宝安区,113.8891794,22.80547835
流行在线网咖(江豪店),体育休闲服务,娱乐场所,网吧,江豪商业步行街与炮台路交叉口东150米,广东省,深圳市,宝安区,113.8895105,22.80936408
玖域网咖,体育休闲服务,娱乐场所,网吧,公明办事处西田社区第二工业区商业区5栋,广东省,深圳市,宝安区,113.8954652,22.80510175
玖域网吧(西田分店),体育休闲服务,娱乐场所,网吧,光明新区公明街道西田社区第二工业区第七栋商业2楼(喜民丰),广东省,深圳市,宝安区,113.8954671,22.80700308
乐酷动漫城,体育休闲服务,娱乐场所,游戏厅,西田村西田时代商贸广场二楼,广东省,深圳市,宝安区,113.8950528,22.80603739
银月光网吧,体育休闲服务,娱乐场所,网吧,屋园路28号附近,广东省,深圳市,宝安区,113.8917637,22.81058627
彩虹网吧,体育休闲服务,娱乐场所,网吧,光明新区公明镇李松朗第三工业区信泰光学有限公司旁益信公寓,广东省,深圳市,宝安区,113.8958382,22.8098221
文涛网络,体育休闲服务,娱乐场所,网吧,公明镇西田村鸿佳百货旁,广东省,深圳市,宝安区,113.8956546,22.80122213
北辰网吧,体育休闲服务,娱乐场所,网吧,西田路51-2号,广东省,深圳市,宝安区,113.9002441,22.80929109
晨曦晨网吧,体育休闲服务,娱乐场所,网吧,公明街道西田东路88号晨曦网络,广东省,深圳市,宝安区,113.897562,22.80069034
海越休闲会所,体育休闲服务,娱乐场所,网吧,公常路166号,广东省,深圳市,宝安区,113.9540141,22.80128023
腾飞网络出租屋,体育休闲服务,娱乐场所,网吧,光明办事处羌下旧村131号,广东省,深圳市,宝安区,113.9591427,22.80980869
卓能网吧,体育休闲服务,娱乐场所,网吧,松岗沙浦洋涌工业区,广东省,深圳市,宝安区,113.8235002,22.7924195
新联盈网络,体育休闲服务,娱乐场所,网吧,松岗镇沙埔村洋涌工业区五路1号,广东省,深圳市,宝安区,113.8259068,22.79142638
下围水小网吧,体育休闲服务,娱乐场所,网吧,深圳市佳多福润滑油有限公司,广东省,深圳市,宝安区,113.8315067,22.79296137
恒兆网吧,体育休闲服务,娱乐场所,网吧,松岗镇恒兆工业区,广东省,深圳市,宝安区,113.8350862,22.79413958
宝宝乐园,体育休闲服务,休闲场所,游乐场,众福路45号塘下涌文化广场,广东省,深圳市,宝安区,113.8395003,22.80056335
塘下涌网吧(动力店),体育休闲服务,娱乐场所,网吧,一村新区三巷1-1号,广东省,深圳市,宝安区,113.8411857,22.79963467
动力网吧,体育休闲服务,娱乐场所,网吧,松岗镇塘下涌一村乐安路2-1号,广东省,深圳市,宝安区,113.8411436,22.79944066
蜘蛛网吧(朗西路)(装修中),体育休闲服务,娱乐场所,网吧,,广东省,深圳市,宝安区,113.8544905,22.79794916
九娃儿童游乐园,体育休闲服务,休闲场所,游乐场,松岗街道燕川惠佳乐超市,广东省,深圳市,宝安区,113.855193,22.79939971
星宝儿童乐园,体育休闲服务,休闲场所,游乐场,燕川文化广场东三巷9号,广东省,深圳市,宝安区,113.8607873,22.80009642
双子星网咖(燕罗公路),体育休闲服务,娱乐场所,网吧,燕川燕罗路心雨咖啡对面2楼,广东省,深圳市,宝安区,113.8609438,22.79859416
燕川网吧(燕罗店),体育休闲服务,娱乐场所,网吧,公园路与怡情路交叉口西南50米,广东省,深圳市,宝安区,113.8591418,22.80004919
晨阳网吧(滨河路),体育休闲服务,娱乐场所,网吧,燕罗公路170号,广东省,深圳市,宝安区,113.8637606,22.79846987
风云战线(鸿燕店),体育休闲服务,娱乐场所,网吧,燕川社区a-286栋(时尚广场后面),广东省,深圳市,宝安区,113.8589834,22.80040484
宇环网吧,体育休闲服务,娱乐场所,网吧,泥围新村七巷3号附近,广东省,深圳市,宝安区,113.8729134,22.79106363
宇辰极速网咖,体育休闲服务,娱乐场所,网吧,公明办事处光明新区公明镇合水口社区泥围新村五巷三号,广东省,深圳市,宝安区,113.8729134,22.79106363
联盟网咖(下村路),体育休闲服务,娱乐场所,网吧,下村路26号2楼,广东省,深圳市,宝安区,113.8822007,22.79305633
新元素网络,体育休闲服务,娱乐场所,网吧,公明办事处下村公园对面,广东省,深圳市,宝安区,113.8789941,22.79311513
金牌网吧,体育休闲服务,娱乐场所,网吧,马田北路与马田路交叉口东南200米,广东省,深圳市,宝安区,113.8787328,22.7926201
诚锐网络会所,体育休闲服务,娱乐场所,网吧,下村路17号附近,广东省,深圳市,宝安区,113.8801509,22.79200534
盛世网吧(下村西三巷),体育休闲服务,娱乐场所,网吧,公明办事处公明镇下村四排南治97号,广东省,深圳市,宝安区,113.878862,22.79209438
飞越网咖(下村路),体育休闲服务,娱乐场所,网吧,公明办事处下村图书馆,广东省,深圳市,宝安区,113.8811975,22.79076748
网鱼网咖,体育休闲服务,娱乐场所,网吧,马田路伟悦大厦附近(下村公园西南),广东省,深圳市,宝安区,113.8789081,22.79209841
诚悦网络会所,体育休闲服务,娱乐场所,网吧,永北前排5栋,广东省,深圳市,宝安区,113.8853859,22.79199047
光纤网吧,体育休闲服务,娱乐场所,网吧,公明镇下村三排北治139号,广东省,深圳市,宝安区,113.8793338,22.7907152
诚意网络会所,体育休闲服务,娱乐场所,网吧,光明新区公明街道下村四排,广东省,深圳市,宝安区,113.8780047,22.79147594
网乐谷(上村店),体育休闲服务,娱乐场所,网吧,公明办事处光明新区公明街道上村社区下南一路90号,广东省,深圳市,宝安区,113.8859456,22.79177981
星星网吧(下南二路),体育休闲服务,娱乐场所,网吧,公明下南二路美庭花园南(百世珑庭西南),广东省,深圳市,宝安区,113.8859476,22.7917918
零陆肆网吧,体育休闲服务,娱乐场所,网吧,下南二路与下村北一巷交叉口东南50米,广东省,深圳市,宝安区,113.8862029,22.79183391
壹号网络(下南二路),体育休闲服务,娱乐场所,网吧,公明办事处上南路35号,广东省,深圳市,宝安区,113.8861038,22.79119208
越得网吧(长春北路),体育休闲服务,娱乐场所,网吧,公明办事处公明镇长春北路万众百货二楼,广东省,深圳市,宝安区,113.8926806,22.79380033
佳佳乐网吧,体育休闲服务,娱乐场所,网吧,公明街道光明新区万众百货(田寮店),广东省,深圳市,宝安区,113.8929098,22.79337552
雀友休闲,体育休闲服务,娱乐场所,棋牌室,长春北路33号附近,广东省,深圳市,宝安区,113.8905907,22.79209543
辉煌网咖(西田路),体育休闲服务,娱乐场所,网吧,河堤路与西田路交叉口北150米,广东省,深圳市,宝安区,113.896091,22.80024549
君安网咖,体育休闲服务,娱乐场所,网吧,西田路20号附近,广东省,深圳市,宝安区,113.8962811,22.80056738
越得网吧总部,体育休闲服务,娱乐场所,网吧,公明办事处上村莲塘工业城C区第25栋二楼A单元,广东省,深圳市,宝安区,113.9013364,22.79917246
后海网吧,体育休闲服务,娱乐场所,网吧,公明楼村振兴路,广东省,深圳市,宝安区,113.9303118,22.79782054
新星网咖,体育休闲服务,娱乐场所,网吧,红银路142号附近,广东省,深圳市,宝安区,113.9342112,22.7959471
鲤鱼河网咖,体育休闲服务,娱乐场所,网吧,光明新区公明街道楼村社区振兴路27号,广东省,深圳市,宝安区,113.9359392,22.79717577
至尊网络(红银路),体育休闲服务,娱乐场所,网吧,公明办事处红银路39号,广东省,深圳市,宝安区,113.9388088,22.79837428
时代网咖(圳美华侨新村西),体育休闲服务,娱乐场所,网吧,圳美新村90-1,广东省,深圳市,宝安区,113.9423084,22.79430805
情缘网络(凤新路),体育休闲服务,娱乐场所,网吧,凤新路与公常路交叉口东北50米,广东省,深圳市,宝安区,113.9434196,22.79815952
极速网吧(028乡道),体育休闲服务,娱乐场所,网吧,028乡道附近,广东省,深圳市,宝安区,113.9403831,22.79204454
时代网咖(圳美大道),体育休闲服务,娱乐场所,网吧,光明新区公明镇圳美村永安大厦旁边,广东省,深圳市,宝安区,113.9428458,22.79256459
新星星网吧,体育休闲服务,娱乐场所,网吧,公明办事处光明新区楼村红银路41号华顺工业园旁边,广东省,深圳市,宝安区,113.9383273,22.79839515
极速电竞城,体育休闲服务,娱乐场所,网吧,圳美大道与028乡道交叉口西北200米,广东省,深圳市,宝安区,113.9402503,22.79232169
纵横电竞联盟,体育休闲服务,娱乐场所,网吧,光明新区圳美旧围90栋,广东省,深圳市,宝安区,113.9411601,22.79183213
闪电网咖,体育休闲服务,娱乐场所,网吧,新陂头雅盛工业园2栋,广东省,深圳市,宝安区,113.9445249,22.79857014
闪电网络,体育休闲服务,娱乐场所,网吧,新陂头雅盛工业园2栋,广东省,深圳市,宝安区,113.9457101,22.79900654
天缘网吧,体育休闲服务,娱乐场所,网吧,光明新区圳美社区同富裕工业园07-01地块b栋即联积厂门口对面,广东省,深圳市,宝安区,113.9482054,22.7961972
舒心网吧,体育休闲服务,娱乐场所,网吧,六联社区长山工业区9号,广东省,深圳市,龙岗区,114.3245123,22.79597056
光捷网咖,体育休闲服务,娱乐场所,网吧,坪地石碧村红岭工业区6-6,广东省,深圳市,龙岗区,114.3335585,22.79740091
恒熙网咖,体育休闲服务,娱乐场所,网吧,红岭工业区10-22,广东省,深圳市,龙岗区,114.3372749,22.79972122
网栈网吧(二分店),体育休闲服务,娱乐场所,网吧,碧头街1-1,广东省,深圳市,宝安区,113.8081218,22.78486243
龙腾网吧,体育休闲服务,娱乐场所,网吧,溪头社区溪头路35号平房B14-15平房,广东省,深圳市,宝安区,113.8319717,22.78208991
洪桥头网咖,体育休闲服务,娱乐场所,网吧,松岗洪桥头村,广东省,深圳市,宝安区,113.8358567,22.78699343
超神网咖,体育休闲服务,娱乐场所,网吧,沙浦一路45号,广东省,深圳市,宝安区,113.827239,22.78203207
山门网吧(瑄宇连锁),体育休闲服务,娱乐场所,网吧,山门第三工业区好万盛百货二楼,广东省,深圳市,宝安区,113.8529357,22.78496422
易发网吧(田园路),体育休闲服务,娱乐场所,网吧,光明新区马田第五工业区,广东省,深圳市,宝安区,113.858366,22.78530715
超强网咖(福康路店),体育休闲服务,娱乐场所,网吧,公明街道茨田埔福康路13号2楼,广东省,深圳市,宝安区,113.8698253,22.78508252
永兴网屋,体育休闲服务,娱乐场所,网吧,福东路23号,广东省,深圳市,宝安区,113.8714494,22.78288095
强强网吧,体育休闲服务,娱乐场所,网吧,福南路189号附近,广东省,深圳市,宝安区,113.8717619,22.78304821
超纤网吧,体育休闲服务,娱乐场所,网吧,福华北三巷7号,广东省,深圳市,宝安区,113.8690059,22.78332922
时尚网咖(福康路),体育休闲服务,娱乐场所,网吧,公明办事处茨田埔福南路58号二楼,广东省,深圳市,宝安区,113.8699266,22.78260046
龙盛网吧,体育休闲服务,娱乐场所,网吧,茨田埔社区福前路一巷15号,广东省,深圳市,宝安区,113.8680721,22.78438583
顺顺儿童乐园,体育休闲服务,休闲场所,游乐场,马田北路31号亿佰家二楼,广东省,深圳市,宝安区,113.8758845,22.79008168
蓝钻网咖,体育休闲服务,娱乐场所,网吧,公明办事处福华路36号,广东省,深圳市,宝安区,113.8682956,22.78317049
梦幻网咖(福泰路),体育休闲服务,娱乐场所,网吧,光明新区公明茨田埔福华路36号,广东省,深圳市,宝安区,113.8678627,22.78334194
南都网咖,体育休闲服务,娱乐场所,网吧,福庄路36号,广东省,深圳市,宝安区,113.8678065,22.78450549
唐朝网吧,体育休闲服务,娱乐场所,网吧,光明新区茨田埔福华南二巷7号,广东省,深圳市,宝安区,113.8686112,22.78229913
e网天下(晶亮店),体育休闲服务,娱乐场所,网吧,振明路214-3号2层,广东省,深圳市,宝安区,113.875475,22.78793705
058光纤上网,体育休闲服务,娱乐场所,网吧,松白路855号附近,广东省,深圳市,宝安区,113.8674058,22.7837083
闪电网吧,体育休闲服务,娱乐场所,网吧,福华路与福南路交叉口西50米,广东省,深圳市,宝安区,113.8677386,22.78225416
和天下网咖(福南路),体育休闲服务,娱乐场所,网吧,福华南九巷5号,广东省,深圳市,宝安区,113.867426,22.78216883
创艺网吧,体育休闲服务,娱乐场所,网吧,福南路9号附近,广东省,深圳市,宝安区,113.8676254,22.78217906
合意网吧,体育休闲服务,娱乐场所,网吧,福南路9号附近,广东省,深圳市,宝安区,113.8678007,22.78198632
昌盛网络(泥围新村一巷),体育休闲服务,娱乐场所,网吧,合水口泥围新村一巷26号,广东省,深圳市,宝安区,113.8745884,22.78904489
超越网吧,体育休闲服务,娱乐场所,网吧,福南路9号附近,广东省,深圳市,宝安区,113.8678368,22.7818664
永昌网咖,体育休闲服务,娱乐场所,网吧,公明办事处公明新区合水口社区马田北路68号,广东省,深圳市,宝安区,113.8759396,22.78949492
新时代网吧,体育休闲服务,娱乐场所,网吧,光明新区公明镇马田福华南五巷6号,广东省,深圳市,宝安区,113.8676905,22.78117147
新天地网咖,体育休闲服务,娱乐场所,网吧,公明办事处公明镇马田村福华南二巷3号,广东省,深圳市,宝安区,113.8676094,22.78108741
胖子网吧,体育休闲服务,娱乐场所,网吧,福山路与S33南光高速交叉口东北100米,广东省,深圳市,宝安区,113.8675503,22.78109234
流行在线网咖,体育休闲服务,娱乐场所,网吧,公明街道合水口社区下工路25号二楼,广东省,深圳市,宝安区,113.876181,22.78995597
和天下网咖(马山头长乐街),体育休闲服务,娱乐场所,网吧,长乐街8号,广东省,深圳市,宝安区,113.8762406,22.78164682
天兴网吧(民生大道),体育休闲服务,娱乐场所,网吧,光明新区公明镇民生路328号二楼,广东省,深圳市,宝安区,113.8862452,22.78799323
龙达网吧,体育休闲服务,娱乐场所,网吧,光明新区,广东省,深圳市,宝安区,113.8829751,22.78830242
高速网络(柏溪路),体育休闲服务,娱乐场所,网吧,柏溪路98-1号,广东省,深圳市,宝安区,113.8794854,22.78466236
昌盛网络(柏溪路),体育休闲服务,娱乐场所,网吧,柏溪路70号,广东省,深圳市,宝安区,113.8806241,22.78402137
中环网络会所(合水口建设西路),体育休闲服务,娱乐场所,网吧,合水口建设西路与建设西路南一巷交叉口西南100米,广东省,深圳市,宝安区,113.8806851,22.78506307
天下网咖(柏溪路),体育休闲服务,娱乐场所,网吧,公明办事处公明镇合水口柏溪路98号,广东省,深圳市,宝安区,113.8792631,22.78482114
贝贝儿童乐园,体育休闲服务,休闲场所,游乐场,公明康乐路下村图书馆西北,广东省,深圳市,宝安区,113.8810883,22.79062145
盛世网络,体育休闲服务,娱乐场所,网吧,柏溪路42号附近,广东省,深圳市,宝安区,113.8828352,22.78323604
至尊网络会所(柏溪路南三巷店),体育休闲服务,娱乐场所,网吧,光明新区公明柏溪路99号,广东省,深圳市,宝安区,113.8794033,22.78449835
迪爱尚网吧,体育休闲服务,娱乐场所,网吧,公明中心商城对面工商银行左侧美宜佳旁,广东省,深圳市,宝安区,113.8825939,22.78311494
合家网吧,体育休闲服务,娱乐场所,网吧,公明办事处光明新区公明街道合水口社区柏溪路122号,广东省,深圳市,宝安区,113.8784348,22.78521239
极速网络,体育休闲服务,娱乐场所,网吧,创维路10-1号,广东省,深圳市,宝安区,113.8842761,22.78267305
世界网络(松白路辅路),体育休闲服务,娱乐场所,网吧,公明镇合水口柏溪路南二巷16栋1楼,广东省,深圳市,宝安区,113.8833369,22.78248159
爱尚网络(建设西路南一巷),体育休闲服务,娱乐场所,网吧,建设西路南一巷,广东省,深圳市,宝安区,113.8839336,22.78350658
天天尚网咖,体育休闲服务,娱乐场所,网吧,公明合水口柏溪路22号,广东省,深圳市,宝安区,113.8839347,22.78252191
三和大众网吧,体育休闲服务,娱乐场所,网吧,公明镇公明三和百货步行街2层,广东省,深圳市,宝安区,113.885763,22.78286873
金凤阁,体育休闲服务,娱乐场所,棋牌室,松白路5031号,广东省,深圳市,宝安区,113.8791791,22.78226094
网络出租屋,体育休闲服务,娱乐场所,网吧,柏溪路141号附近,广东省,深圳市,宝安区,113.877299,22.78547341
阳光网咖,体育休闲服务,娱乐场所,网吧,柏溪路10-1号附近,广东省,深圳市,宝安区,113.8842611,22.78257907
新时代超速网络,体育休闲服务,娱乐场所,网吧,光明新区横岭新村十巷9,广东省,深圳市,宝安区,113.8784471,22.78131371
众振网咖(建设西路南一巷),体育休闲服务,娱乐场所,网吧,公明街道公明合水口上屯新村112号二楼,广东省,深圳市,宝安区,113.8847176,22.78328907
金益动漫城,体育休闲服务,娱乐场所,游戏厅,光明新区公明镇丰明电脑城2楼,广东省,深圳市,宝安区,113.8859682,22.78372654
流行在线网咖(天兴店),体育休闲服务,娱乐场所,网吧,公明镇民生路328号二楼,广东省,深圳市,宝安区,113.8864004,22.78797231
时代网咖,体育休闲服务,娱乐场所,网吧,合水口新村八巷8号附近,广东省,深圳市,宝安区,113.8786043,22.78143179
优先网咖,体育休闲服务,娱乐场所,网吧,横岭新村十巷9号,广东省,深圳市,宝安区,113.8782918,22.78102668
阳光乐园(三和百货),体育休闲服务,休闲场所,游乐场,松白路5038号三和百货F3层,广东省,深圳市,宝安区,113.8860364,22.78177223
零点网咖(合水口新村九巷),体育休闲服务,娱乐场所,网吧,公明街道合水口横岭新村八巷3号,广东省,深圳市,宝安区,113.8789849,22.78110518
428极速网吧,体育休闲服务,娱乐场所,网吧,光明新区公明上村竹林下南一路21号,广东省,深圳市,宝安区,113.8859667,22.7906732
梦游网吧,体育休闲服务,娱乐场所,网吧,公明镇马山头工业区永兴街西一巷4号,广东省,深圳市,宝安区,113.8770029,22.78081173
童星乐园(百佳华商场),体育休闲服务,休闲场所,游乐场,金辉路11-5号百佳华商场4层,广东省,深圳市,宝安区,113.8891318,22.78252322
风之谷,体育休闲服务,休闲场所,游乐场,振明路122号天虹商场2层,广东省,深圳市,宝安区,113.8881436,22.78473213
麦咖K-Bar,体育休闲服务,休闲场所,游乐场,振明路122号天虹商场F1,广东省,深圳市,宝安区,113.8880365,22.78515095
童趣城堡游乐园,体育休闲服务,休闲场所,游乐场,公明街道公明天虹商场二楼,广东省,深圳市,宝安区,113.8888965,22.78427455
狼蛛电竞馆(公明店),体育休闲服务,娱乐场所,网吧,公明街道长春中路金诚大厦3楼,广东省,深圳市,宝安区,113.8888324,22.78490432
星辉网咖(民生大道),体育休闲服务,娱乐场所,网吧,民生路116号22楼,广东省,深圳市,宝安区,113.892695,22.78750648
名烟名茶名酒燕窝补品棋牌室,体育休闲服务,娱乐场所,棋牌室,长春中路2-13号附近,广东省,深圳市,宝安区,113.8902579,22.78457789
通达网咖,体育休闲服务,娱乐场所,网吧,下辇路18号2楼,广东省,深圳市,宝安区,113.8929923,22.78786441
星际网络(下辇路),体育休闲服务,娱乐场所,网吧,公明办事处公明镇上村下辇,广东省,深圳市,宝安区,113.8932385,22.78794343
开心网络会所(下辇路),体育休闲服务,娱乐场所,网吧,下辇1巷7号,广东省,深圳市,宝安区,113.8936148,22.78846531
大千世界网吧(下辇路),体育休闲服务,娱乐场所,网吧,下辇路54号附近,广东省,深圳市,宝安区,113.8929472,22.78855017
尚愉零零贰网吧,体育休闲服务,娱乐场所,网吧,公明办事处上村下辇东一巷9号快购便利店,广东省,深圳市,宝安区,113.8935107,22.78837232
娃娃机(百佳华商场),体育休闲服务,娱乐场所,游戏厅,长春南路西一号百佳华商场1F层,广东省,深圳市,宝安区,113.8894131,22.78216243
光纤网络,体育休闲服务,娱乐场所,网吧,光明新区公明街道公明二小球场前面,广东省,深圳市,宝安区,113.8880251,22.79003229
超越网咖(元山路),体育休闲服务,娱乐场所,网吧,公明办事处元山路39号,广东省,深圳市,宝安区,113.8876878,22.79004116
超缘网咖,体育休闲服务,娱乐场所,网吧,公明镇上村元山路25-4,广东省,深圳市,宝安区,113.8866626,22.789249
979网络会所,体育休闲服务,娱乐场所,网吧,民生大道北100米,广东省,深圳市,宝安区,113.9009859,22.78713166
高峰网咖,体育休闲服务,娱乐场所,网吧,兴发路与华发北路交叉口东北50米,广东省,深圳市,宝安区,113.9034932,22.78572755
老男孩网咖,体育休闲服务,娱乐场所,网吧,公明街道民生大道71号4楼,广东省,深圳市,宝安区,113.9037263,22.78486877
诚锐阳光网咖,体育休闲服务,娱乐场所,网吧,上辇新村100号101铺,广东省,深圳市,宝安区,113.9003435,22.78814342
兄弟网络会所(明婕大厦北),体育休闲服务,娱乐场所,网吧,民生大道北150米,广东省,深圳市,宝安区,113.9008498,22.78784044
越得网吧(华发北路),体育休闲服务,娱乐场所,网吧,华发北路36号,广东省,深圳市,宝安区,113.9036281,22.78774683
高峰网吧,体育休闲服务,娱乐场所,网吧,光明新区上辇新村4号,广东省,深圳市,宝安区,113.9044845,22.78648599
小苹果网吧(上辇办公大楼东北),体育休闲服务,娱乐场所,网吧,民生大道与红花北路交叉口北150米,广东省,深圳市,宝安区,113.8995061,22.78756372
创世纪网吧(民生大道),体育休闲服务,娱乐场所,网吧,上辇村4巷5号,广东省,深圳市,宝安区,113.8972306,22.78782677
