名称,大类,中类,小类,地址,省,市,区,WGS84_X,WGS84_Y
谭海酒店歌剧院,体育休闲服务,影剧院,剧场,广深公路松岗段44号(沙井松岗工业区广深路和潭头路交汇处),广东省,深圳市,宝安区,113.844014,22.75257404
中影时空国际影城,体育休闲服务,影剧院,电影院,观澜街道章阁社区天富商贸城3层,广东省,深圳市,龙华区,114.0130732,22.74664967
梦幻私人影院,体育休闲服务,影剧院,电影院,章阁村志扬大道十三栋二楼,广东省,深圳市,龙华区,114.0108497,22.7452226
深影五洲国际影城,体育休闲服务,影剧院,电影院,龙城街道五联社区五联综合市场华润万家3层,广东省,深圳市,龙岗区,114.2292934,22.74855681
中影·星际银河电影城(坑梓店),体育休闲服务,影剧院,电影院,坑梓街道金田风华苑西1号楼3层,广东省,深圳市,坪山区,114.3685092,22.74761819
百川影城IMAX(新沙天虹店),体育休闲服务,影剧院,电影院,沙井街道西环路2105号新沙天虹7层,广东省,深圳市,宝安区,113.7952111,22.73390432
金逸影城(岁宝百货),体育休闲服务,影剧院,电影院,民主大道与松福路交汇处岁宝百货3F层-4F层,广东省,深圳市,宝安区,113.7875193,22.73938407
金逸国际电影城(沙井店),体育休闲服务,影剧院,电影院,沙井街道民主大道岁宝百货3层,广东省,深圳市,宝安区,113.7877368,22.73929041
大地数字影院(裕客隆店),体育休闲服务,影剧院,电影院,沙井路180号裕客隆百货广场4层,广东省,深圳市,宝安区,113.8027305,22.73173549
深圳华夏星光国际影城(沙井店),体育休闲服务,影剧院,电影院,沙井街道中心路宝安书城B1-2层,广东省,深圳市,宝安区,113.8241026,22.73394816
深圳完美世界影城(沙井店),体育休闲服务,影剧院,电影院,新沙路180号华润万家4层,广东省,深圳市,宝安区,113.8228294,22.73121454
17.5影城(沙井店),体育休闲服务,影剧院,电影院,沙井街道新沙路与中心路交汇处华润万家4层A,广东省,深圳市,宝安区,113.8229016,22.73117469
米高梅国际影城,体育休闲服务,影剧院,电影院,田富路28号A栋3层,广东省,深圳市,宝安区,113.8950694,22.73476342
米高梅电影,体育休闲服务,影剧院,电影院,田富路28号A栋亿华购物广场3层,广东省,深圳市,宝安区,113.8951144,22.73477442
中影·熙腾国际影城,体育休闲服务,影剧院,电影院,桔坑路盛世华联4层,广东省,深圳市,龙华区,114.0019577,22.73127924
金逸国际电影城(观澜店),体育休闲服务,影剧院,电影院,观光路万悦城广场4层,广东省,深圳市,龙华区,114.0077221,22.73436805
相遇音乐吧,体育休闲服务,影剧院,音乐厅,观澜大水坑大三村大三阁,广东省,深圳市,龙华区,114.0080801,22.73507079
星美,体育休闲服务,影剧院,电影院,龙平东路沃尔玛3层,广东省,深圳市,龙岗区,114.2644574,22.7324231
嘉年华国际影城(人人购物广场店),体育休闲服务,影剧院,电影院,龙平东路人人购物广场富德店4层,广东省,深圳市,龙岗区,114.2689173,22.73230256
百汇银河影城,体育休闲服务,影剧院,电影院,龙岗街道龙岗社区龙岗大道6483号欢城广场4层005室,广东省,深圳市,龙岗区,114.2765251,22.73996868
东星影咖(私人影院店),体育休闲服务,影剧院,电影院,双龙龙昌街70号2楼(平岗中学斜对面龙昌商务大厦2楼),广东省,深圳市,龙岗区,114.2669699,22.73144445
坑梓影剧院,体育休闲服务,影剧院,电影院,光祖北路与吉康路交汇处,广东省,深圳市,坪山区,114.3703824,22.73910269
橙天国际影城(嘉邻中心),体育休闲服务,影剧院,电影院,锦绣西路与聚龙山B路交汇处嘉邻中心3F层,广东省,深圳市,坪山区,114.3784536,22.73390775
中影飞尚百誉影城(沙井店),体育休闲服务,影剧院,电影院,沙井路与新沙路交汇处京基百纳广场5层502,广东省,深圳市,宝安区,113.8012239,22.73012236
DY国际影城(沙井店),体育休闲服务,影剧院,电影院,沙井街道中心路34-1号形色城购物广场F6层601,广东省,深圳市,宝安区,113.8243058,22.72470218
深圳万丰影剧院,体育休闲服务,影剧院,电影院|体育休闲服务,新沙路285号,广东省,深圳市,宝安区,113.821899,22.72988817
东影南国影城(上南店),体育休闲服务,影剧院,电影院,上南大街200号联诚购物广场4层(近上南美联),广东省,深圳市,宝安区,113.8372635,22.72170814
宝影国际影城(公明店),体育休闲服务,影剧院,电影院,南海百货4层,广东省,深圳市,宝安区,113.8953665,22.7208284
中影国际影城(田寮店),体育休闲服务,影剧院,电影院,公明街道田寮村炜东城百货三楼,广东省,深圳市,宝安区,113.9006525,22.72883092
集鸿发国际影城(田寮店),体育休闲服务,影剧院,电影院,公明街道田寮村炜东城百货三楼,广东省,深圳市,宝安区,113.9007385,22.72931976
中影影派影城,体育休闲服务,影剧院,电影院,长圳商业步行街2栋3层,广东省,深圳市,宝安区,113.9155586,22.72133863
大地数字影院(观澜兴万达店),体育休闲服务,影剧院,电影院,观澜大道517号兴万达广场5层,广东省,深圳市,龙华区,114.0533059,22.72160305
星美国际影城(首信广场店),体育休闲服务,影剧院,电影院,桂花路108号首信广场5层,广东省,深圳市,龙华区,114.0550746,22.72677958
橙天嘉禾影城(观澜湖店),体育休闲服务,影剧院,电影院,观澜高尔夫大道8号观澜湖新城MHMALL1栋4层2A栋C座1-3层,广东省,深圳市,龙华区,114.0699147,22.72595966
中娱影院,体育休闲服务,影剧院,电影院,中心城锦绣东方吉福路151号,广东省,深圳市,龙岗区,114.2276799,22.72412697
中影泰得影城(盛世店),体育休闲服务,影剧院,电影院,龙城街道中心城欧景花园三期10号楼地下二层商铺,广东省,深圳市,龙岗区,114.2289361,22.73007406
龙岗影城(文化中心店),体育休闲服务,影剧院,电影院,龙城广场东侧龙岗文化中心A区1楼,广东省,深圳市,龙岗区,114.2453801,22.72329782
龙岗文化中心大剧院,体育休闲服务,影剧院,剧场,龙岗文化中心A区2层,广东省,深圳市,龙岗区,114.2453791,22.72329782
宝能影城(龙岗店),体育休闲服务,影剧院,电影院,龙城街道建设路28号宝钜商业大厦四层L4-03a商铺,广东省,深圳市,龙岗区,114.2433275,22.72742961
龙岗文化中心音乐厅,体育休闲服务,影剧院,音乐厅,龙岗文化中心A区4层,广东省,深圳市,龙岗区,114.2453711,22.72329082
龙潭公园-中心舞台,体育休闲服务,影剧院,剧场,长兴南路西150米,广东省,深圳市,龙岗区,114.2386019,22.72509355
橙天嘉禾影城(摩尔城店),体育休闲服务,影剧院,电影院,龙岗大道6002号摩尔城4层,广东省,深圳市,龙岗区,114.2630172,22.72447137
新天地影城(万达龙盛店),体育休闲服务,影剧院,电影院,龙岗街道深汕路中信龙盛新天地1栋2层,广东省,深圳市,龙岗区,114.2915331,22.72497292
乐潮主题音乐厅(中信龙盛广场店),体育休闲服务,影剧院,音乐厅,龙岗街道深汕路中信龙盛广场1栋2楼202-204-205-206-207商铺,广东省,深圳市,龙岗区,114.2921923,22.72552175
金色童年5D电影,体育休闲服务,影剧院,影剧院相关,沙井和一村锦程路裕花园银钻广场3层,广东省,深圳市,宝安区,113.7794833,22.71744172
新哥弟数码影院,体育休闲服务,影剧院,电影院,沙井街道黄埔社区龙井路15号2楼,广东省,深圳市,宝安区,113.8389782,22.71869106
百誉影城(世贸中心店),体育休闲服务,影剧院,电影院,龙城街道中心城龙翔大道龙岗世贸中心(D区四楼),广东省,深圳市,龙岗区,114.2409172,22.71967052
星美国际影商城,体育休闲服务,影剧院,电影院,龙城街道龙翔大道7188号万科广场3层03-24、25,广东省,深圳市,龙岗区,114.2380119,22.71674771
东影南国国际影城(福永唐美店),体育休闲服务,影剧院,电影院,凤塘大道523号唐美商场4层,广东省,深圳市,宝安区,113.7963367,22.70368542
万成国际影城,体育休闲服务,影剧院,电影院,人民路264号义乌商贸城4层,广东省,深圳市,龙华区,114.035316,22.70703738
德金国际影城(德金财富广场店),体育休闲服务,影剧院,电影院,福永镇和平村桥和路315号德金财富广场2层,广东省,深圳市,宝安区,113.7812384,22.69121269
东海国际影城,体育休闲服务,影剧院,电影院,福永街道桥头社区永福路120号东海百货4层,广东省,深圳市,宝安区,113.7971124,22.69090091
星美国际影商城(凤凰世纪商业广场店),体育休闲服务,影剧院,电影院,大洋路178号凤凰世纪商业广场1层(好万年超市对面),广东省,深圳市,宝安区,113.8186061,22.69822049
环球国际影城(福永店),体育休闲服务,影剧院,电影院,福永社区凤凰山大道98号F3-03,广东省,深圳市,宝安区,113.8359691,22.69089684
中影星悦国际影城,体育休闲服务,影剧院,电影院,石岩街道石龙社区工业一路与二路交汇处惠科时尚广场A栋东侧2层,广东省,深圳市,宝安区,113.9647164,22.69793565
百丽电影院,体育休闲服务,影剧院,电影院,华宁路新百丽工业园内,广东省,深圳市,龙华区,113.9801911,22.69102269
中影新耀客影城,体育休闲服务,影剧院,电影院,大浪街道浪静路11南国俪人C栋1层,广东省,深圳市,龙华区,113.9823661,22.7003849
电影院(比邻新天地),体育休闲服务,影剧院,电影院,观澜大道75号比邻新天地1F层,广东省,深圳市,龙华区,114.0367241,22.69624182
华夏国际影城(比邻新天地店),体育休闲服务,影剧院,电影院,观澜大道75号田背路口比邻新天地1层,广东省,深圳市,龙华区,114.0370815,22.69623499
希恩国际影城(观澜巨幕店),体育休闲服务,影剧院,电影院,观澜街道大和路口环观南路101号凯美居广场A座5层,广东省,深圳市,龙华区,114.047561,22.69330516
RAVI音乐吧,体育休闲服务,影剧院,音乐厅,凤凰大道235号,广东省,深圳市,龙岗区,114.138701,22.69669069
中影face电影城(平湖店),体育休闲服务,影剧院,电影院,凤凰大道凤凰商业广场(肯德基后面箱房),广东省,深圳市,龙岗区,114.1384824,22.69814197
深圳博纳国际影城(龙岗店),体育休闲服务,影剧院,电影院,爱南路666号COCO ParkF4层L4-032,广东省,深圳市,龙岗区,114.2234469,22.69383195
达梦国际影城(尖莎咀店),体育休闲服务,影剧院,电影院,宝荷路振业峦山谷尖莎咀购物中心3层,广东省,深圳市,龙岗区,114.2621414,22.69091679
IMAX影院,体育休闲服务,影剧院,电影院,深汕公路坪山益田假日世界内,广东省,深圳市,坪山区,114.3348262,22.69590716
中影UL城市影院(坪山店),体育休闲服务,影剧院,电影院,建设路49号泰华商城4层,广东省,深圳市,坪山区,114.3409804,22.69309263
坪山影剧院,体育休闲服务,影剧院,电影院,坪山镇建设路62号,广东省,深圳市,坪山区,114.3402924,22.69356074
一起看微影院(桥头店),体育休闲服务,影剧院,电影院,宝安大道6271号附近,广东省,深圳市,宝安区,113.8028457,22.68680157
天地傲翔6D动感影院,体育休闲服务,影剧院,影剧院相关,凤凰大道11号,广东省,深圳市,宝安区,113.8407037,22.68728623
星河传说6D动感影院,体育休闲服务,影剧院,影剧院相关,凤凰山大道,广东省,深圳市,宝安区,113.8406556,22.68709519
天地傲翔动感6D影院体验店,体育休闲服务,影剧院,影剧院相关,凤凰山大道110号附近凤凰百货1层,广东省,深圳市,宝安区,113.8407949,22.68722641
M·E私人影院,体育休闲服务,影剧院,电影院,石岩街道办龙腾社区松白路与宝石西路交汇处石岩汽车站斜对面岭南创谷A栋408号,广东省,深圳市,宝安区,113.9225853,22.68668066
石岩影剧院,体育休闲服务,影剧院,剧场,宝石东路385号,广东省,深圳市,宝安区,113.9338698,22.68252197
博世(宝石西路),体育休闲服务,影剧院,电影院,宝石西路11号附近,广东省,深圳市,宝安区,113.9281388,22.68465011
荣耀投影厅,体育休闲服务,影剧院,影剧院相关,上排新村南十一巷与上排新村南四巷交叉口西南100米,广东省,深圳市,宝安区,113.930078,22.6877286
中影金影星汇国际影城,体育休闲服务,影剧院,电影院,官田社区宝石东路宏发世纪城一期星城购物中心,广东省,深圳市,宝安区,113.9422486,22.68324675
中影南方国际影城(观澜店),体育休闲服务,影剧院,电影院,观澜樟坑径社区新安汇大厦2层,广东省,深圳市,龙华区,114.0729642,22.68834561
电影院(熙璟城购物中心),体育休闲服务,影剧院,电影院,富安大道与平安大道交汇处熙璟城购物中心2层,广东省,深圳市,龙岗区,114.131462,22.68524365
华夏君盛影城(熙璟城购物中心),体育休闲服务,影剧院,电影院,富安大道熙璟城君胜百货2层,广东省,深圳市,龙岗区,114.131466,22.68523666
华夏Le影城,体育休闲服务,影剧院,电影院,平湖大街330号荟港城三层,广东省,深圳市,龙岗区,114.1356151,22.68999157
星际银河电影城(同富裕路店),体育休闲服务,影剧院,电影院,沙坣社区同富裕路9号六星新天地商业广场A座3层,广东省,深圳市,坪山区,114.3644024,22.68728361
中影幕森国际影城,体育休闲服务,影剧院,电影院,福永街道福永大道128号怀德村委旁东门商业中心汇隆城五楼,广东省,深圳市,宝安区,113.8139274,22.6715041
中影UL城市影院(福永店),体育休闲服务,影剧院,电影院,福永大道国惠康商场4层,广东省,深圳市,宝安区,113.8150343,22.67213402
福永大剧院,体育休闲服务,影剧院,剧场,福永大道11号,广东省,深圳市,宝安区,113.8196836,22.67435125
益田国际影城,体育休闲服务,影剧院,电影院,福永街道永泰西路益田假日天地2层,广东省,深圳市,宝安区,113.8222686,22.67325437
大地数字影院(宏发大世界店),体育休闲服务,影剧院,电影院,宝石南路与青年路交汇处宏发购物广场二期5层,广东省,深圳市,宝安区,113.9248666,22.67785701
一品红5D动感影院(岁宝百货石岩店),体育休闲服务,影剧院,电影院,石岩街道浪心社区宝石南路岁宝百货(石岩店)4F层,广东省,深圳市,宝安区,113.9246677,22.67789125
维也斯影院都会,体育休闲服务,影剧院,电影院,石岩镇宝石南路宏发大世界5层,广东省,深圳市,宝安区,113.9252394,22.67725268
百誉影城(大浪店),体育休闲服务,影剧院,电影院,大浪街道华旺路大浪商业中心E栋3层,广东省,深圳市,龙华区,113.9896324,22.67798652
幻影星空9D互动影院(大浪店),体育休闲服务,影剧院,电影院,龙华新区华繁路大浪商业中心16栋K103室分享城西门斜对,广东省,深圳市,龙华区,113.9885172,22.67865874
橙天欢乐影城(大浪店),体育休闲服务,影剧院,电影院,华旺路大浪商业中心H栋纷享城F3层,广东省,深圳市,龙华区,113.9895934,22.6790134
橙天嘉禾影城,体育休闲服务,影剧院,电影院,大浪商业中心2期纷享城3楼橙天嘉禾影城8、9号厅门口橙子乐园,广东省,深圳市,龙华区,113.9897501,22.67853204
华纳万都影城(深圳龙华店),体育休闲服务,影剧院,电影院,清华路清湖老村花伴里邻里购物中心3层,广东省,深圳市,龙华区,114.0437029,22.67499338
中环亚(清湖店),体育休闲服务,影剧院,电影院,梅龙大道与清湖路交叉口西南150米,广东省,深圳市,龙华区,114.0383688,22.67227273
亚洲之星影苑,体育休闲服务,影剧院,电影院,清湖工业园清庆路1号深圳广播电影电视集团文化产业园2号楼宜和购物附近,广东省,深圳市,龙华区,114.0560589,22.67603398
时代金球影城(环球物流中心店),体育休闲服务,影剧院,电影院,平湖镇华南城环球物流中心4层,广东省,深圳市,龙岗区,114.1190523,22.67842802
逸达国际影城(荷坳店),体育休闲服务,影剧院,电影院,金源路20号宝丰商场2层,广东省,深圳市,龙岗区,114.227838,22.67835881
万明影城,体育休闲服务,影剧院,电影院,坪山京基御景印象2期1-2号,广东省,深圳市,坪山区,114.3302969,22.68000852
中影德金影城(福永店),体育休闲服务,影剧院,电影院,福永街道怀德南路翠岗公园群艺馆1层,广东省,深圳市,宝安区,113.816674,22.66635136
风云国际影院(欢天喜地店),体育休闲服务,影剧院,电影院,西乡簕竹角村欢天喜地2层,广东省,深圳市,宝安区,113.8585513,22.66138679
非凡数字影城,体育休闲服务,影剧院,电影院,石岩街道塘头社区塘头大道宏发商业大厦1-2层,广东省,深圳市,宝安区,113.9108884,22.66675358
万厅国际影城(石岩分店),体育休闲服务,影剧院,电影院,塘头大道41-16东海百货2层,广东省,深圳市,宝安区,113.9120973,22.66786355
中影熙腾国际影城(龙华店),体育休闲服务,影剧院,电影院,龙华街道东环一路世贸广场一楼26、27、30号,广东省,深圳市,龙华区,114.0173974,22.66397279
华夏太古巨幕影城,体育休闲服务,影剧院,电影院,创业路汇海广场B座3层,广东省,深圳市,龙华区,114.0226977,22.6604818
金逸新新影城,体育休闲服务,影剧院,电影院,清泉路9号TTMALL3层,广东省,深圳市,龙华区,114.0293232,22.66668794
金沙休闲城,体育休闲服务,影剧院,电影院,和平路与清泉路交叉口西南50米,广东省,深圳市,龙华区,114.0301357,22.66480028
纵横国际影城(天安云谷店),体育休闲服务,影剧院,电影院,坂田街道雪岗路2018号天安云谷产业园一期3栋C座3层303,广东省,深圳市,龙岗区,114.0635833,22.66319875
中影德金影城(百佳华商场),体育休闲服务,影剧院,电影院,龙华新区龙华街道人民北路291号百佳华商场5层,广东省,深圳市,龙华区,114.0152189,22.65790629
华夏太古国际影城(金銮时代店),体育休闲服务,影剧院,电影院,龙华街道和平东路金銮时代大厦1-2层,广东省,深圳市,龙华区,114.0253051,22.65957097
金逸影城(龙华店),体育休闲服务,影剧院,电影院,建设路与东环一路交界处崇尚百货4层,广东省,深圳市,龙华区,114.0258063,22.65510256
中影嘉年华影城(装修中),体育休闲服务,影剧院,电影院,龙华新区东环二路8号ICO购物领地4层,广东省,深圳市,龙华区,114.0321711,22.65875846
太平洋国际影城(新城汇店),体育休闲服务,影剧院,电影院,横岗街道红棉路与横岗一号交汇处龙岗新城汇5层,广东省,深圳市,龙岗区,114.1873177,22.65143083
中影UL城市影院(横岗店),体育休闲服务,影剧院,电影院,横岗松柏路天虹商场4层,广东省,深圳市,龙岗区,114.2063639,22.65209713
宝影国际影城,体育休闲服务,影剧院,电影院,天宝路附近,广东省,深圳市,宝安区,113.9188034,22.64844905
CINESKY(壹方天地Life广场),体育休闲服务,影剧院,电影院,壹方天地Life广场,广东省,深圳市,龙华区,114.0309991,22.64839549
雅图影城(龙华店),体育休闲服务,影剧院,电影院,龙华东环一路良基大厦家和福4层,广东省,深圳市,龙华区,114.0393658,22.64650588
深圳聚星国际影城(李朗店),体育休闲服务,影剧院,电影院,南湾街道布澜路31号李朗国际珠宝园C1栋3层,广东省,深圳市,龙岗区,114.1212196,22.64397164
金船音乐厅,体育休闲服务,影剧院,音乐厅,横岗六约红棉路新城广场维也纳洒店一楼,广东省,深圳市,龙岗区,114.1804973,22.6484613
金域世纪电影城(志健时代店),体育休闲服务,影剧院,电影院,茂盛路1号志健时代广场4层,广东省,深圳市,龙岗区,114.2008912,22.64990594
米高梅国际影城(横岗店),体育休闲服务,影剧院,电影院,龙岗大道横岗段5008横岗大厦商场4层,广东省,深圳市,龙岗区,114.203049,22.6495871
5D电影动感电影体验馆,体育休闲服务,影剧院,影剧院相关,兴业一路与机场二道交叉口西100米,广东省,深圳市,宝安区,113.8261853,22.64037856
传奇影城后瑞店,体育休闲服务,影剧院,电影院,新瑞路19号壹航城购物中心T2栋一层,广东省,深圳市,宝安区,113.8290162,22.63440598
中影UL城市影院(黄田店),体育休闲服务,影剧院,电影院,西乡街道长园路28号昌宏百货4层,广东省,深圳市,宝安区,113.8421821,22.63076364
金逸国际电影城(民治店),体育休闲服务,影剧院,电影院,民治大道648号牛栏前大厦3层,广东省,深圳市,龙华区,114.0325927,22.63764258
大地数字影院(佐阾香颂店),体育休闲服务,影剧院,电影院,布龙路与民治大道交汇处佐阾香颂购物中心1层,广东省,深圳市,龙华区,114.0317336,22.63369843
百川国际影城(民治优城店),体育休闲服务,影剧院,电影院,民治大道水尾村路段优城购物中心南区5层(海韵大厦对面)周大福升降梯直上5楼,广东省,深圳市,龙华区,114.0317707,22.63075386
南国艺恒影城(坂田店),体育休闲服务,影剧院,电影院,吉华路999号坂田商业广场5层,广东省,深圳市,龙岗区,114.0571934,22.63634135
中影UL城市影院(三联店),体育休闲服务,影剧院,电影院,布吉街道三联社区联布北路东侧佳华商场3层,广东省,深圳市,龙岗区,114.1104432,22.63075919
万众国际影城(横岗店),体育休闲服务,影剧院,电影院,横埔厦路8号麟恒中心广场3层(地铁3号线塘坑站),广东省,深圳市,龙岗区,114.1819325,22.64030347
东部华侨城大剧院,体育休闲服务,影剧院,剧场,大梅沙东部华侨城景区内,广东省,深圳市,盐田区,114.2709866,22.63634247
咕咕钟舞台,体育休闲服务,影剧院,剧场,东部华侨城,广东省,深圳市,盐田区,114.2731456,22.63505859
凤凰国际影城,体育休闲服务,影剧院,电影院,西乡街道宝安大道5010号西部硅谷B座1层,广东省,深圳市,宝安区,113.832891,22.6287942
中影·国际影城(九方购物中心),体育休闲服务,影剧院,电影院,人民南路与腾龙路交界九方购物中心3层,广东省,深圳市,龙华区,114.0162114,22.62979984
爱说美斯小剧场,体育休闲服务,影剧院,剧场,梅陇路1866美斯学谷二层,广东省,深圳市,龙华区,114.0250796,22.62845655
嘉熙业国际影城(民治店),体育休闲服务,影剧院,电影院,民治大道328号嘉熙业广场5层,广东省,深圳市,龙华区,114.0344968,22.62548709
4K影城,体育休闲服务,影剧院,电影院,民旺路民旺路1栋附近,广东省,深圳市,龙华区,114.0286315,22.62314613
中影博亚影城(民治店),体育休闲服务,影剧院,电影院,民福路2号百易广场F4层,广东省,深圳市,龙华区,114.030423,22.62108189
百丰堂音乐吧,体育休闲服务,影剧院,音乐厅,民治大道422号附近,广东省,深圳市,龙华区,114.0337371,22.62775754
中影博亚影城(坂田店),体育休闲服务,影剧院,电影院,五和大道118号海达和成购物中心3F层F301,广东省,深圳市,龙岗区,114.0563157,22.6287911
太平洋影城(8号仓店),体育休闲服务,影剧院,电影院,民康路1号8号仓奥特莱斯F3层,广东省,深圳市,龙岗区,114.0497668,22.62084392
万达影城(坂田雅园店),体育休闲服务,影剧院,电影院,坂田街道新安路1号宝银商业广场2层T10,广东省,深圳市,龙岗区,114.0575779,22.6228781
中影百川影城(布吉店),体育休闲服务,影剧院,电影院,布吉街道水径社区海心汇福园华润万家4楼,广东省,深圳市,龙岗区,114.1052927,22.62052373
ZCV布吉影城,体育休闲服务,影剧院,电影院,慢城商业街106-109号,广东省,深圳市,龙岗区,114.1264019,22.62715085
中影·美视国际影城,体育休闲服务,影剧院,电影院,西乡街道前进二路桃源居10区28栋(人人乐超市二楼),广东省,深圳市,宝安区,113.8546963,22.61976197
中影UL城市影院(昌宏店),体育休闲服务,影剧院,电影院,布吉西环路昌宏百货3层(长龙地铁站),广东省,深圳市,龙岗区,114.1047667,22.61036206
中影嘉华国际影城(星都里店),体育休闲服务,影剧院,电影院,布吉街道龙岗大道2504号星都豪庭商场二楼,广东省,深圳市,龙岗区,114.1325179,22.61502512
一帆影城(信和店),体育休闲服务,影剧院,电影院,深惠路大芬爱琴居信和购物广场3层,广东省,深圳市,龙岗区,114.1305706,22.61456245
中影百汇影城(人人购物广场),体育休闲服务,影剧院,电影院,南湾街道南岭社区南岭东路28号4层(人人购物广场南岭店楼上),广东省,深圳市,龙岗区,114.145844,22.61498628
星烨国际影城(深圳南岭店),体育休闲服务,影剧院,电影院,开放街8号南岭商业中心5层,广东省,深圳市,龙岗区,114.1456947,22.6125194
大峡谷4D影院,体育休闲服务,影剧院,影剧院相关,东部华侨城大侠谷,广东省,深圳市,盐田区,114.2980668,22.61060848
海菲德剧场,体育休闲服务,影剧院,剧场,东部华侨城,广东省,深圳市,盐田区,114.2998524,22.61290512
易时代影院(万丰广场店),体育休闲服务,影剧院,电影院,勤辉路2号a栋万丰广场3层,广东省,深圳市,宝安区,113.8460938,22.60204889
嘉乐影城(固戍店),体育休闲服务,影剧院,电影院,固戍一路67号置富广场1层,广东省,深圳市,宝安区,113.857688,22.60472866
博纳国际影城(星河盛世店),体育休闲服务,影剧院,电影院,梅龙路附近,广东省,深圳市,龙华区,114.0411106,22.60540399
八克拉俱乐部,体育休闲服务,影剧院,电影院,梅林关上河坊书香门第8,广东省,深圳市,龙华区,114.0421771,22.60171919
深影华纳影城(民乐店),体育休闲服务,影剧院,电影院,民治街道民乐一区民乐大厦3层,广东省,深圳市,龙华区,114.0470917,22.6010531
中影UL城市影院(昌宏店),体育休闲服务,影剧院,电影院,布吉西环路昌宏百货3层(长龙地铁站),广东省,深圳市,龙岗区,114.1047667,22.61036206
中影易禾影城(布吉广场店),体育休闲服务,影剧院,电影院,吉华路69号布吉中心广场4层,广东省,深圳市,龙岗区,114.1129258,22.60293352
